Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ronny Turiaf,208,112,Gonzaga University,1983,490,8299,875,1640,510,804,0,8,875,1632,540,1287,1827,628,195,610,372,1155,2260
Rony Seikaly,211,104,Syracuse University,1965,734,23031,3897,8119,2937,4293,6,34,3891,8085,2288,4529,6817,937,481,915,2059,2505,10737
Rory Sparrow,188,79,Villanova University,1958,683,16397,2309,5111,569,716,90,341,2219,4770,290,904,1194,3050,574,82,1055,1311,5277
Rory White,203,95,University of South Alabama,1959,223,4412,764,1515,348,496,1,12,763,1503,266,304,570,187,156,47,255,435,1877
Roshown McLeod,203,100,Duke University,1975,148,3052,483,1159,181,217,7,67,476,1092,129,299,428,182,64,22,198,288,1154
Roy Hibbert,218,122,Georgetown University,1986,710,17071,2702,5788,1422,1877,6,24,2696,5764,1581,2748,4329,906,249,1192,1070,2167,6832
Roy Hinson,206,95,Rutgers University,1961,504,16277,3045,6127,1857,2466,0,14,3045,6113,1040,2430,3470,525,344,877,1069,1857,7947
Roy Marble,198,86,University of Iowa,1966,29,194,18,70,19,32,0,2,18,68,18,14,32,12,7,3,17,17,55
Roy Rogers,201,106,Wake Forest University,1971,152,2415,297,621,77,147,1,2,296,619,188,312,500,59,29,217,106,286,672
Roy Tarpley,211,104,University of Michigan,1964,280,7476,1457,3014,613,824,6,34,1451,2980,964,1839,2803,292,317,329,557,950,3533
Royal Ivey,190,90,University of Texas at Austin,1981,536,6488,657,1614,244,345,176,484,481,1130,153,438,591,528,249,40,266,796,1734
Royce White,203,95,University of South Alabama,1959,3,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Ruben Boumtje-Boumtje,213,116,Georgetown University,1978,44,276,14,38,15,27,0,0,14,38,22,35,57,6,4,17,14,40,43
Ruben Garces,206,111,Providence College,1973,26,146,14,44,4,16,0,0,14,44,32,26,58,10,6,4,10,28,32
Ruben Nembhard,190,94,Weber State University,1972,20,226,32,74,16,20,0,12,32,62,6,10,16,34,18,0,16,24,80
Ruben Patterson,196,101,University of Cincinnati,1975,720,17747,3005,5815,1765,2774,36,209,2969,5606,1398,1543,2941,1277,827,270,1316,1568,7811
Ruben Wolkowyski,208,122,NaN,1973,41,329,27,83,26,38,0,3,27,80,12,35,47,4,6,18,13,41,80
Rudy Fernandez,198,83,NaN,1985,249,5965,740,1853,361,430,413,1147,327,706,128,480,608,554,249,40,286,369,2254
Rudy Gay,203,104,University of Connecticut,1986,901,32033,6303,14030,3136,3922,941,2753,5362,11277,1329,4021,5350,2120,1215,725,2238,2239,16683
Rudy Gobert,216,111,NaN,1992,269,7268,905,1479,674,1097,0,3,905,1476,838,1795,2633,304,166,579,405,641,2484
Rumeal Robinson,188,88,University of Michigan,1966,421,7002,1135,2661,445,729,138,402,997,2259,176,509,685,1315,343,59,666,707,2853
Russ Schoene,208,95,University of Tennessee at Chattanooga,1960,213,2326,414,993,126,166,61,181,353,812,188,292,480,116,96,48,147,381,1015
Russ Smith,183,74,University of Louisville,1991,39,196,23,72,32,39,5,27,18,45,3,18,21,27,11,1,31,31,83
Russell Westbrook,190,90,"University of California, Los Angeles",1988,668,22786,5239,12093,3972,4829,706,2258,4533,9835,1110,3039,4149,5293,1154,197,2620,1616,15156
Rusty LaRue,188,95,Wake Forest University,1973,98,1565,187,497,58,69,54,170,133,327,22,104,126,152,62,11,94,147,486
Ryan Anderson,208,108,University of California,1988,556,14708,2525,5977,1082,1257,1184,3107,1341,2870,1135,1886,3021,505,304,195,549,1111,7316
Ryan Bowen,201,97,University of Iowa,1975,507,6502,544,1192,217,313,14,68,530,1124,506,554,1060,250,325,138,168,752,1319
Ryan Gomes,201,113,Providence College,1982,487,13463,1891,4249,810,1014,334,956,1557,3293,617,1622,2239,712,351,78,550,942,4926
